date,tsla,date,appl,date,F,date,nvda,date,msft
Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
1/2/2014 16:00:00,30.02,1/2/2014 16:00:00,19.75,1/2/2014 16:00:00,15.44,1/2/2014 16:00:00,15.86,1/2/2014 16:00:00,37.16
1/3/2014 16:00:00,29.91,1/3/2014 16:00:00,19.32,1/3/2014 16:00:00,15.51,1/3/2014 16:00:00,15.67,1/3/2014 16:00:00,36.91
1/6/2014 16:00:00,29.4,1/6/2014 16:00:00,19.43,1/6/2014 16:00:00,15.58,1/6/2014 16:00:00,15.88,1/6/2014 16:00:00,36.13
1/7/2014 16:00:00,29.87,1/7/2014 16:00:00,19.29,1/7/2014 16:00:00,15.38,1/7/2014 16:00:00,16.14,1/7/2014 16:00:00,36.41
1/8/2014 16:00:00,30.26,1/8/2014 16:00:00,19.41,1/8/2014 16:00:00,15.54,1/8/2014 16:00:00,16.36,1/8/2014 16:00:00,35.76
1/9/2014 16:00:00,29.51,1/9/2014 16:00:00,19.16,1/9/2014 16:00:00,15.84,1/9/2014 16:00:00,15.75,1/9/2014 16:00:00,35.53
1/10/2014 16:00:00,29.14,1/10/2014 16:00:00,19.03,1/10/2014 16:00:00,16.07,1/10/2014 16:00:00,15.73,1/10/2014 16:00:00,36.04
1/13/2014 16:00:00,27.87,1/13/2014 16:00:00,19.13,1/13/2014 16:00:00,16.11,1/13/2014 16:00:00,15.36,1/13/2014 16:00:00,34.98
1/14/2014 16:00:00,32.25,1/14/2014 16:00:00,19.51,1/14/2014 16:00:00,16.4,1/14/2014 16:00:00,15.84,1/14/2014 16:00:00,35.78
1/15/2014 16:00:00,32.83,1/15/2014 16:00:00,19.91,1/15/2014 16:00:00,16.7,1/15/2014 16:00:00,16.01,1/15/2014 16:00:00,36.76
1/16/2014 16:00:00,34.19,1/16/2014 16:00:00,19.79,1/16/2014 16:00:00,16.73,1/16/2014 16:00:00,16.06,1/16/2014 16:00:00,36.89
1/17/2014 16:00:00,34,1/17/2014 16:00:00,19.31,1/17/2014 16:00:00,16.52,1/17/2014 16:00:00,15.99,1/17/2014 16:00:00,36.38
1/21/2014 16:00:00,35.34,1/21/2014 16:00:00,19.61,1/21/2014 16:00:00,16.41,1/21/2014 16:00:00,16.05,1/21/2014 16:00:00,36.17
1/22/2014 16:00:00,35.71,1/22/2014 16:00:00,19.7,1/22/2014 16:00:00,16.55,1/22/2014 16:00:00,16.03,1/22/2014 16:00:00,35.93
1/23/2014 16:00:00,36.3,1/23/2014 16:00:00,19.86,1/23/2014 16:00:00,16.43,1/23/2014 16:00:00,15.97,1/23/2014 16:00:00,36.06
1/24/2014 16:00:00,34.92,1/24/2014 16:00:00,19.5,1/24/2014 16:00:00,15.83,1/24/2014 16:00:00,15.56,1/24/2014 16:00:00,36.81
1/27/2014 16:00:00,33.92,1/27/2014 16:00:00,19.66,1/27/2014 16:00:00,15.71,1/27/2014 16:00:00,15.46,1/27/2014 16:00:00,36.03
1/28/2014 16:00:00,35.68,1/28/2014 16:00:00,18.09,1/28/2014 16:00:00,15.72,1/28/2014 16:00:00,15.61,1/28/2014 16:00:00,36.27
1/29/2014 16:00:00,35.05,1/29/2014 16:00:00,17.88,1/29/2014 16:00:00,15.26,1/29/2014 16:00:00,15.46,1/29/2014 16:00:00,36.66
1/30/2014 16:00:00,36.57,1/30/2014 16:00:00,17.85,1/30/2014 16:00:00,15.25,1/30/2014 16:00:00,15.72,1/30/2014 16:00:00,36.86
1/31/2014 16:00:00,36.28,1/31/2014 16:00:00,17.88,1/31/2014 16:00:00,14.96,1/31/2014 16:00:00,15.7,1/31/2014 16:00:00,37.84
